country,perplexity,salaryaftertaxcalculator.com,relocate.me,average_salary
Austria,44250,43762,46114,64215
Belgium,39000,39478,41081,52962
Bulgaria,67500,NA,NA,53355
Croatia,54000,38100,43963,38492
Cyprus,60000,53803,54636,64711
Czech Republic,52500,55500,53233,53945
Denmark,42000,NA,50369,89145
Estonia,55500,56025,57840,56683
Finland,48750,44625,44691,60281
France,45000,46903,51989,55452
Germany,46500,35935,43233,79622
Greece,49500,NA,NA,29772
Hungary,63750,NA,NA,39725
Ireland,51000,50650,49488,97567
Italy,45000,NA,NA,35102
Latvia,52500,NA,NA,50944
Lithuania,56250,NA,NA,57207
Luxembourg,51750,48000,49548,94559
Malta,54750,NA,NA,41765
Netherlands,48750,50963,45143,83681
Poland,52500,48180,53200,57847
Portugal,48000,42100,42687,44630
Romania,48750,NA,NA,43727
Slovakia,52500,NA,NA,35758
Slovenia,51000,NA,NA,44305
Spain,51750,43786,50736,53782
Sweden,42000,30750,47328,56838
