title,author,year,edition,full_description,level,score
Automate the Boring Stuff with Python,Al Sweigart,2019,2nd Edition,"Automate the Boring Stuff with Python, 3rd edition coming soon. Click here for details.
Look Inside!

>


Download Chapter 7: PATTERN MATCHING WITH REGULAR EXPRESSIONS (PDF)
Download the files used in the book

If you’ve ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you?
In this fully revised second edition of the best-selling classic Automate the Boring Stuff with Python, you’ll learn how to use Python to write programs that do in minutes what would take you hours to do by hand—no prior programming experience required. You'll learn the basics of Python and explore Python’s rich library of modules for performing specific tasks, like scraping data off websites, reading PDF and Word documents, and automating clicking and typing tasks.
The second edition of this international fan favorite includes a brand-new chapter on input validation, as well as tutorials on automating Gmail and Google Sheets, plus tips on automatically updating CSV files. You’ll learn how to create programs that effortlessly perform useful feats of automation to:

Search for text in a file or across multiple files
Create, update, move, and rename files and folders
Search the Web and download online content
Update and format data in Excel spreadsheets of any size
Split, merge, watermark, and encrypt PDFs
Send email responses and text notifications
Fill out online forms

Step-by-step instructions walk you through each program, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. 
Don't spend your time doing work a well-trained monkey could do. Even if you've never written a line of code, you can make your computer do the grunt work. Learn how in Automate the Boring Stuff with Python, 2nd Edition.
",Beginner,0.64
Automate the Boring Stuff with Python,Al Sweigart,2025,3rd Edition,"If you’ve ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? In this fully revised edition of the best-selling classic Automate the Boring Stuff with Python, you’ll learn how to use Python to write programs that do in minutes what would take you hours to do by hand—no prior programming experience required. You'll learn the basics of coding in Python and explore the language’s’s rich library of modules for performing specific tasks, like scraping data from websites, searching for text across multiple files, and merging, watermarking, or encrypting PDFs.
The third edition includes:

Expanded coverage of developer techniques, like creating command line programs
Updated examples and new projects
Additional chapters about working with SQLite databases, speech-recognition technology, video and audio editing, and text-to-speech capabilities
Simplified explanations (based on reader feedback) of beginner programming concepts, like loops and conditionals

Even if you've never written a line of code, Automate the Boring Stuff with Python, 3rd Edition will teach you how to make your computer take on tedious tasks and do all your grunt work—the way it should be
",Beginner,0.8
Beyond the Basic Stuff with Python,Al Sweigart,2020,,"Look Inside!



Download Chapter 2: ENVIRONMENT SETUP AND THE COMMAND LINE
BRIDGE THE GAP BETWEEN NOVICE AND PROFESSIONAL
You’ve completed a basic Python programming tutorial or finished Al Sweigart’s best selling Automate the Boring Stuff with Python. What’s the next step toward becoming a capable, confident software developer?
Welcome to Beyond the Basic Stuff with Python. More than a mere collection of advanced syntax and masterful tips for writing clean code, this book will teach you how to advance your Python programming skills by using the command line and other professional tools like code formatters, type checkers, linters, and version control. Sweigart takes you through best practices for setting up your development environment, naming variables, and improving readability, then tackles documentation, organization and performance measurement, as well as object-oriented design and the Big-O algorithm analysis commonly used in coding interviews. The skills you learn will boost your ability to program—not just in Python but in any language.
You’ll learn:

Coding style, and how to use Python’s Black auto-formatting tool for cleaner code
Common sources of bugs, and how to detect them with static analyzers
How to structure the files in your code projects with the Cookiecutter template tool
Functional programming techniques like lambda and higher-order functions
How to profile the speed of your code with Python’s built-in timeit and cProfile modules
The computer science behind Big-O algorithm analysis
How to make your comments and docstrings informative, and how often to write them
How to create classes in object-oriented programming, and why they’re used to organize code

Toward the end of the book you’ll read a detailed source-code breakdown of two classic command-line games, the Tower of Hanoi (a logic puzzle) and Four-in-a-Row (a two-player tile-dropping game), and a breakdown of how their code follows the book’s best practices. You’ll test your skills by implementing the program yourself.
Of course, no single book can make you a professional software developer. But Beyond the Basic Stuff with Python will get you further down that path and make you a better programmer in the process as you learn to write readable code that’s easy to debug and perfectly Pythonic.
",Intermediate,0.43
Black Hat Python,Justin Seitz and Tim Arnold,2021,2nd Edition,"Look Inside!

   

Download Chapter 3: Writing a Sniffer

Click here to download all the code and resources for the book.

When it comes to creating powerful and effective hacking tools, Python is the language of choice for most security analysts. In this second edition of the bestselling Black Hat Python, you’ll explore the darker side of Python’s capabilities: everything from writing network sniffers, stealing email credentials, and bruteforcing directories to crafting mutation fuzzers, investigating virtual machines, and creating stealthy trojans.
All of the code in this edition has been updated to Python 3.x. You’ll also find new coverage of bit shifting, code hygiene, and offensive forensics with the Volatility Framework as well as expanded explanations of the Python libraries ctypes, struct, lxml, and BeautifulSoup, and offensive hacking strategies like splitting bytes, leveraging computer vision libraries, and scraping websites.
You’ll learn how to:

Create a trojan command-and-control server using GitHub
Detect sandboxing and automate common malware tasks like keylogging and screenshotting
Extend the Burp Suite web-hacking tool
Escalate Windows privileges with creative process control
Use offensive memory forensics tricks to retrieve password hashes and find vulnerabilities on a virtual machine
Abuse Windows COM automation
Exfiltrate data from a network undetected

When it comes to offensive security, you need to be able to create powerful tools on the fly. Learn how with Black Hat Python.
",Intermediate,0.5
Cracking Codes with Python,Al Sweigart,2018,,"Download Chapter 2: Programming in the Interactive Shell
Learn how to program in Python while making and breaking ciphers—algorithms used to create and send secret messages! 
After a crash course in Python programming basics, you’ll learn to make, test, and hack programs that encrypt text with classical ciphers like the transposition cipher and Vigenère cipher. You’ll begin with simple programs for the reverse and Caesar ciphers and then work your way up to public key cryptography, the type of encryption used to secure today’s online transactions, including digital signatures, email, and Bitcoin.
Each program includes the full code and a line-by-line explanation of how things work. By the end of the book, you’ll have learned how to code in Python and you’ll have the clever programs to prove it!
You’ll also learn how to:

Combine loops, variables, and flow control statements into real working programs
Use dictionary files to instantly detect whether decrypted messages are valid English or gibberish
Create test programs to make sure that your code encrypts and decrypts correctly
Code (and hack!) a working example of the affine cipher, which uses modular arithmetic to encrypt a message
Break ciphers with techniques such as brute-force and frequency analysis

There’s no better way to learn to code than to play with real programs. Cracking Codes with Python makes the learning fun!
",Beginner,0.7
Dead Simple Python,Jason C. McDonald,2022,,"Download Chapter 5: VARIABLES AND TYPES
Look Inside!


Dead Simple Python is a thorough introduction to every feature of the Python language for programmers who are impatient to write production code. Instead of revisiting elementary computer science topics, you’ll dive deep into idiomatic Python patterns so you can write professional Python programs in no time.
After speeding through Python’s basic syntax and setting up a complete programming environment, you’ll learn to work with Python’s dynamic data typing, its support for both functional and object-oriented programming techniques, special features like generator expressions, and advanced topics like concurrency. You’ll also learn how to package, distribute, debug, and test your Python project.
Master how to:

Make Python's dynamic typing work for you to produce cleaner, more adaptive code.
Harness advanced iteration techniques to structure and process your data.
Design classes and functions that work without unwanted surprises or arbitrary constraints.
Use multiple inheritance and introspection to write classes that work intuitively.
Improve your code's responsiveness and performance with asynchrony, concurrency, and parallelism.
Structure your Python project for production-grade testing and distribution

The most pedantically pythonic primer ever printed, Dead Simple Python will take you from working with the absolute basics to coding applications worthy of publication.
",Beginner,0.71
Dive Into Algorithms,Bradford Tuckfield,2021,,"Look Inside!

 
Download Chapter 2: ALGORITHMS IN HISTORY

Dive Into Algorithms is a wide-ranging, Pythonic tour of many of the world's most interesting algorithms. With little more than a bit of computer programming experience and basic high-school math, you'll explore standard computer science algorithms for searching, sorting, and optimization; human-based algorithms that help us determine how to catch a baseball or eat the right amount at a buffet; and advanced algorithms like ones used in machine learning and artificial intelligence. You'll even explore how ancient Egyptians and Russian peasants used algorithms to multiply numbers, how the ancient Greeks used them to find greatest common divisors, and how Japanese scholars in the age of samurai designed algorithms capable of generating magic squares.
You'll explore algorithms that are useful in pure mathematics and learn how mathematical ideas can improve algorithms. You'll learn about an algorithm for generating continued fractions, one for quick calculations of square roots, and another for generating seemingly random sets of numbers.
You'll also learn how to:

Use algorithms to debug code, maximize revenue, schedule tasks, and create decision trees
Measure the efficiency and speed of algorithms
Generate Voronoi diagrams for use in various geometric applications
Use algorithms to build a simple chatbot, win at board games, or solve sudoku puzzles
Write code for gradient ascent and descent algorithms that can find the maxima and minima of functions
Use simulated annealing to perform global optimization
Build a decision tree to predict happiness based on a person's characteristics

Once you've finished this book you'll understand how to code and implement important algorithms as well as how to measure and optimize their performance, all while learning the nitty-gritty details of today's most powerful algorithms.
",Beginner,0.63
Dive Into Data Science,Bradford Tuckfield,2023,,"Look Inside!

Download Chapter 2: FORECASTING
Dive into the exciting world of data science with this practical introduction. Packed with essential skills and useful examples, Dive Into Data Science will show you how to obtain, analyze, and visualize data so you can leverage its power to solve common business challenges.
With only a basic understanding of Python and high school math, you’ll be able to effortlessly work through the book and start implementing data science in your day-to-day work. From improving a bike sharing company to extracting data from websites and creating recommendation systems, you’ll discover how to find and use data-driven solutions to make business decisions.
Topics covered include conducting exploratory data analysis, running A/B tests, performing binary classification using logistic regression models, and using machine learning algorithms.
You’ll also learn how to:

Forecast consumer demand 
Optimize marketing campaigns
Reduce customer attrition
Predict website traffic
Build recommendation systems

With this practical guide at your fingertips, harness the power of programming, mathematical theory, and good old common sense to find data-driven solutions that make a difference. Don’t wait; dive right in!
",Beginner,0.75
Doing Math with Python,Amit Saha,2015,,"“Saha does an excellent job providing a clear link between Python and upper-level math concepts, and demonstrates how Python can be transformed into a mathematical stage. This book deserves a spot on every geometry teacher’s bookshelf.”
—School Library Journal

Download Chapter 1: Working with Numbers
Download the solutions PDF and code files for the programming challenges
Visit the author's website for code files and other resources

Doing Math with Python shows you how to use Python to delve into high school–level math topics like statistics, geometry, probability, and calculus. You’ll start with simple projects, like a factoring program and a quadratic-equation solver, and then create more complex projects once you’ve gotten the hang of things. 

Along the way, you’ll discover new ways to explore math and gain valuable programming skills that you’ll use throughout your study of math and computer science. Learn how to:

Describe your data with statistics, and visualize it with line graphs, bar charts, and scatter plots
Explore set theory and probability with programs for coin flips, dicing, and other games of chance
Solve algebra problems using Python’s symbolic math functions
Draw geometric shapes and explore fractals like the Barnsley fern, the Sierpinski triangle, and the Mandelbrot set
Write programs to find derivatives and integrate functions

Creative coding challenges and applied examples help you see how you can put your new math and coding skills into practice. You’ll write an inequality solver, plot gravity’s effect on how far a bullet will travel, shuffle a deck of cards, estimate the area of a circle by throwing 100,000 “darts” at a board, explore the relationship between the Fibonacci sequence and the golden ratio, and more.

Whether you’re interested in math but have yet to dip into programming or you’re a teacher looking to bring programming into the classroom, you’ll find that Python makes programming easy and practical. Let Python handle the grunt work while you focus on the math.

Uses Python 3
",Intermediate,0.44
Gray Hat Python,Justin Seitz,2009,,"
Download Chapter 2: ""Debuggers and Debugger Design"" and Chapter 4: ""PyDbg: A Pure Python Windows Debugger""
Download the code from the book

Python is fast becoming the programming language of choice for hackers, reverse engineers, and software testers because it's easy to write quickly, and it has the low-level support and libraries that make hackers happy. But until now, there has been no real manual on how to use Python for a variety of hacking tasks. You had to dig through forum posts and man pages, endlessly tweaking your own code to get everything working. Not anymore.
Gray Hat Python explains the concepts behind hacking tools and techniques like debuggers, trojans, fuzzers, and emulators. But author Justin Seitz goes beyond theory, showing you how to harness existing Python-based security tools—and how to build your own when the pre-built ones won't cut it.
You'll learn how to:

Automate tedious reversing and security tasks
Design and program your own debugger
Learn how to fuzz Windows drivers and create powerful fuzzers from scratch
Have fun with code and library injection, soft and hard hooking techniques, and other software trickery
Sniff secure traffic out of an encrypted web browser session
Use PyDBG, Immunity Debugger, Sulley, IDAPython, PyEMU, and more

The world's best hackers are using Python to do their handiwork. Shouldn't you?
",Intermediate,0.49
